cat,die Katze,kot,le chat,🐈
mouse,Die Maus,mysz,la souris,🐁
dog,der Hund,pies,le chien,🐕
hedgehog,der Igel,jeż,le hérisson,🦔
racoon,der Waschbär,szop pracz,le raton laveur,🦝
badger,der Dachs,borsuk,le blaireau,🦡
rabbit,das Kaninchen,królik,le lapin,🐇
rat,die Ratte,szczur,le rat,🐀
squirrel,das Eichhörnchen,wiewiórka,l'écureuil,🐿
turkey,der Truthahn,indyk,la dinde,🦃
parrot,der Papagei,papuga,le perroquet,🦜
peacock,der Pfau,paw,le paon,🦚
butterfly,der Schmetterling,motyl,le papillon,🦋
snail,die Schnecke,ślimak,l'escargot,🐌
ladybug,der Marienkäfer,biedronka,la coccinelle,🐞
snake,die Schlange,wąż,le serpent,🐍
bee,die Biene,pszczoła,l'abeille,🐝
caterpillar,die Raupe,gąsienica,la chenille,🐛
ant,die Ameise,mrówka,la fourmi,🐜
spider,die Spinne,pająk,l'araignée,🕷
turtle,die Schildkröte,żółw,la tortue,🐢
duck,die Ente,kaczka,le canard,🦆
owl,die Eule,sowa,le hibou,🦉
eagle,der Adler,orzeł,l'aigle,🦅
bat,die Fledermaus,nietoperz,la chauve-souris,🦇
octopus,der Oktopus,ośmiornica,la pieuvre,🐙
squid,der Tintenfisch,kałamarnica,le calamar,🦑
shrimp,die Garnele,krewetka,la crevette,🦐
dolphin,der Delfin,delfin,le dauphin,🐬
whale,der Wal,wieloryb,la baleine,🐋
shark,der Haifisch,rekin,le requin,🦈
crocodile,das Krokodil,krokodyl,le crocodile,🐊
tiger,der Tiger,tygrys,le tigre,🐅
leopard,der Leopard,lampart,le léopard,🐆
zebra,das Zebra,zebra,le zèbre,🦓
gorilla,der Gorilla,goryl,le gorille,🦍
elephant,der Elefant,słoń,l'éléphant,🐘
hippopotamus,das Nilpferd,hipopotam,l'hippopotame,🦛
rhinoceros,das Nashorn,nosorożec,le rhinocéros,🦏
giraffe,die Giraffe,żyrafa,la girafe,🦒
cow,die Kuh,krowa,la vache,🐄
horse,das Pferd,koń,le cheval,🐎
pig,das Schwein,świnia,le cochon,🐖
sheep,das Schaf,owca,le mouton,🐑
llama,das Lama,lama,le lama,🦙
goat,die Ziege,koza,la chèvre,🐐
deer,das Reh,jeleń,le cerf,🦌
kangaroo,das Känguru,kangur,le kangourou,🦘
fish,der Fisch,ryba,le poisson,🐟
unicorn,das Einhorn,jednorożec,la licorne,🦄
