haben,to have,hatte ,gehabt
denken,to think,dachte,gedacht
bringen,to bring,brachte,gebracht
kennen,to know,kannte,gekannt
nennen,to mention,nannte,genannt
rennen,to sprint,rannte,gerannt
wissen,to know,wusste,gewusst
essen,to eat,ass,gegessen
lesen,to read,las,gelesen
treten,to step,trat,getreten
geben,to give,gab,gegeben
sehen,to see,sah,gesehen
sitzen,to sit,sass,gesessen
liegen,to lie,lag,gelegen
sprechen,to speak,sprach,gesprochen
treffen,to meet,traf,getroffen
nehmen,to take,nahm,genommen
teilnehmen,to participate,nahm...teil,teilgenommen
werfen,to throw,warf,geworfen
gelten,to be valid,galt,gegolten
brechen,to break,brach,gebrochen
beginnen,to begin,begann,begonnen
gewinnen,to win,gewann,gewonnen
schwimmen,to swim,schwamm,geschwommen
heben,to elevate/cancel,hob,gehoben
singen,to sing,sang,gesungen
trinken,to drink,trank,getrunken
binden,to bundle,band,gebunden
finden,to find,fand,gefunden
springen,to jump,sprang,gesprungen
behalten,to keep/pocket sth,behielt,behalten
schlafen,to sleep,schlief,geschlafen
erhalten,to receive,erhielt,erhalten
fallen,to fall,fiel,gefallen
fangen,to catch,fing,gefangen
halten,to stop,hielt,gehalten
lassen,to leave,liess,gelassen
laufen,to run,lief,gelaufen
heissen,to be called,hiess,geheissen
rufen,to call/shout,rief,gerufen
einsteigen,to get in,stieg...ein,eingestiegen
bleiben,to stay,blieb,geblieben
schreiben,to write,schrieb,geschrieben
angreifen,to attack,griff...an,angegriffen
reiten,to ride,ritt,geritten
greifen,to grip,griff,gegriffen
fliegen,to fly,flog,geflogen
schieben,to push/move,schob,geschoben
schiessen,to shoot,schoss,geschossen
schliessen,to close,schloss,geschlossen
verlieren,to lose,verlor,verloren
biegen,to bend,bog,gebogen
ziehen,to pull/drag,zog,gezogen
einladen,to invite,lud...ein,eingeladen
waschen,to wash,wusch,gewaschen
schlagen,to strike,schlug,geschlagen
tragen,to carry/wear,trug,getragen
fahren,to drive/go,fuhr,gefahren
sein,to be,war,gewesen
werden,to become - FUTUR,wurde,geworden / worden (Hilfsverb)
kommen,to come,kam,gekommen
bekommen,to get/receive,bekam,bekommen
gehen,to go,ging,gegangen
stossen,to bounce,stiess,gestossen
stehen,to stand,stand,gestanden
bestehen,to exist/persist,bestand,bestanden
verstehen,to understand,verstand,verstanden
tun,to do,tat,getan
wollen,want,wollte,habe wollen / gewollt (Vollverb)
sollen,shall,sollte,habe sollen / gesollt (Vollverb)
müssen,must,musste,habe müssen / gemusst (Vollverb)
dürfen,may / can,durfte,habe dürfen / gedurft (Vollverb)
können,can,konnte,habe können / gekonnt (Vollverb)
mögen,like,mochte,habe mögen / gemocht(Vollverb)
raten,to guess / to advise,riet,geraten
